line,stanza,lyric
3,1,"So what? ไม่แคร์แล้วกัน, I'm sorry"
4,1,"I don't care, don't care, really don't care because"
5,2,เพราะฉันไม่แคร์ไม่สนว่าใครรักล่ะ
6,2,โลกนี้ช่างกว้างใหญ่มีอะไรยิ่งกว่า
7,2,พวกพี่ๆก็เคยบอก ว่าฉันเติบใหญ่อีกตั้งไกล
8,2,I’m sorry sorry sorry เพราะฉันเด็กแล้ว เข้าใจมะ
9,3,สวยดูดีแล้ว ไม่เห็นน่าลุ่มหลงสักนิด 
10,3,แค่เราไม่เด็กแล้วไง ก็ต่าง dalla
11,3,เพราะมาตรฐานของเธออย่ามาเทียบตัวฉัน
12,3,และฉันเป็นตัวเองแล้วไง ไม่อยาก เหมือนใคร
13,4,I love myself!
14,4,ก็มีตัวฉัน ตัวฉันเอง yeah
15,4,I love myself!
16,4,ก็มีตัวฉัน ตัวฉันเอง yeah
17,4,ก็มีตัวฉัน ตัวฉันเอง yeah
18,5,"Bad, bad, I'm sorry I'm bad"
19,5,I'm just the way I am
20,5,ไม่อยากจะสนใครมาวิจารณ์หรอกนะ
21,5,ขอเวลาให้ฉันทำสักวันก่อนนะ
22,5,My life จะใช้ไปเป็นของตัวเอง อย่าสนใครซะน่ะ
23,5,พราะตัวฉันพิเศษกว่า yeah
24,6,เพราะฉันไม่แคร์ไม่สนใครจะคิดล่ะ
25,6,My style ของตัวเอง ดูเฉิดฉายยิ่งกว่า
26,6,พวกพี่ๆก็เคยบอก ว่าฉันนั้นแสดงออกมากไป
27,6,I’m sorry sorry sorry เพราะฉันไม่กล้า เข้าใจมะ
28,7,สวยดูดีแล้ว ไม่เห็นน่าลุ่มหลงสักนิด
29,7,แค่เราไม่เด็กแล้วไง ก็ต่าง dalla
30,7,เพราะมาตรฐานของเธออย่ามาเทียบตัวฉัน
31,7,และฉันเป็นตัวเองแล้วไง ไม่อยาก เหมือนใคร
32,8,Don't care what people say แค่ดูที่ตัวฉันล่ะ
33,8,I'm talkin' to myself ให้มั่นหน้าก่อน เชิดเอาไว้
34,8,ให้มั่นใจเข้าไว้ และทำตามความฝัน
35,8,Just keep on dreaming
36,9,"Keep your chin up, we got your back"
37,9,"Keep your head up, just keep on dreamin'"
38,9,"Keep your chin up, we got your back"
39,9,"Keep your head up, just keep on dreamin'"
40,10,สวยดูดีแล้ว ไม่เห็นน่าลุ่มหลงสักนิด (Oh…)
41,10,แค่เราไม่เด็กแล้วไง ก็ต่าง dalla (Dalla)
42,10,เพราะมาตรฐานของเธออย่ามาเทียบตัวฉัน
43,10,และฉันเป็นตัวเองแล้วไง ไม่อยาก เหมือนใคร
44,11,I love myself
45,11,ก็มีตัวฉัน ตัวฉันเอง yeah
46,11,I love myself
47,11,ก็มีตัวฉัน ตัวฉันเอง yeah
48,11,ก็มีตัวฉัน ตัวฉันเอง yeah
1,1,"La gente de aquí, habla de mí"
2,1,Que a la vista desagrado y les aterro
3,1,¿Y quién les preguntó?
4,1,"Lo siento a mi no me importa, no me importa, because."
5,2,no me interesa enamorada estar
6,2,Prefiero divertirme en libertad.
7,2,"No tengo madurez, aun me falta crecer."
8,2,I'm sorry sorry me siento bien siendo yo.
9,3,Belleza hay aunque a ti no te atraiga 
10,3,yo soy diferente a las demás.
11,3,Ya deja atrás tus medidas estándar
12,3,ser única me gusta y me das igual.
13,4,I love myself
14,4,La diferencia marcaré
15,4,I love myself
16,4,La diferencia marcaré
17,4,La diferencia marcaré
18,5,"Bad, bad, i'm sorry i'm bad"
19,5,i'm just the way i am
20,5,Mientras te preocupes por los demás 
21,5,disfruto de mi vida y libertad.
22,5,My life como yo viva a ti no te ha de importar 
23,5,"por que soy especial, yeah"
24,6,No me interesa lo que pensarán
25,6,Fiel a mi misma no me cambiarán.
26,6,"Muy atrevida seré, no me importa tu parecer."
27,6,"I'm sorry, sorry me siento bien siendo yo."
28,7,Belleza hay aunque a ti no te atraiga
29,7,Yo soy diferente a las demás.
30,7,Ya deja atrás tus medidas estándar
31,7,ser única me gusta y me das igual.
32,8,No escucharé jamás si me intentas cambiar
33,8,"No dejo de luchar, no te metas conmigo."
34,8,"Me mantengo hoy, fuerte hasta el final "
35,8,Just keep on dreaming
36,9,"Keep your chin up, we got your back"
37,9,"Keep your head up, just keep on dreaming"
38,9,"Keep your chin up, we got your back"
39,9,"Keep your head up, just keep on dreaming"
40,10,Belleza hay aunque a ti no te atraiga
41,10,Yo soy diferente a las demás.
42,10,Ya dejas atrás tus medidas estándar
43,10,Ser única me gusta y me das igual.
44,11,I love myself
45,11,La diferencia marcaré
46,11,I love myself
47,11,La diferencia marcaré
48,11,La diferencia marcaré
1,1,"People look at me, and they tell me"
2,1,Diriku terlihat sangat tidak menarik
3,1,So what? Ku tak peduli
4,1,I'm sorry i don't care don't care really don't care because
5,2,Diriku tak pedulikan cinta
6,2,Karna banyak yang lebih menyenangkan
7,2,Orang bilang bahwa ku harus dewasa
8,2,"Im sorry, Sorry Ku tak mau dewasa"
9,3,Hanya cantik tapi tidak menarik
10,3,Aku memang beda beda beda
11,3,Jangan nilai aku dengan standarmu
12,3,Ku sangat suka aku yang sekarang
13,4,I love my self
14,4,ku memang beda beda yeah
15,4,I love my self
16,4,ku memang beda beda yeah
17,4,Ku memang istimewa yeah
18,5,"Bad bad, i'm sorry i'm bad"
19,5,I'm just the way I am
20,5,Pikirkan apa yang orang katakan 
21,5,Ku tak punya waktu lakukannya
22,5,My life tak usah engkau mempedulikannya
23,5,Aku memang spesial yeah
24,6,Tak peduli yang orang pikirkan
25,6,Ini diriku yang sebenarnya
26,6,Orang bilang bahwa diriku tak mau dengar
27,6,"I’m sorry, sorry Ku tak mau dewasa"
